metro13,metro_title,change_ln_population,not_lbfr_share_prime_change,unemployed_share_prime_change,non_hc_share_prime_change,hc_emp_share_prime_change,manu_share_prime_change,non_manu_share_prime_change,manufacturing_share_prime1980,ln_msa_pop2022,ln_msa_pop1980,medicare_share1980,medicare_share2022,change_medicare_share,ln_aearn1980,ln_aearn2022,change_earnings,college1980,college2022,change_college,healthcare_share_prime2022,healthcare_share_prime1980,change_non_hc_share_lbfr,change_ln_non_hc,non_hc_manu_share_prime_change,gdp_growth_2019_percent,gdp_growth_2020_percent,gdp_growth_2021_percent,gdp_growth_2022_percent,gdp_growth_2023_percent
10420,"Akron, OH",0.0328,-0.09325,-0.02887,0.07576,0.04636,-0.1022,0.2243,0.236,13.43,13.4,0.104,0.1916,0.08764,10.55,10.87,0.3272,0.1466,0.3343,0.1878,0.1004,0.05406,-0.0412,0.1161,0.17795999,1.6,-3.6,4.4,-0.1,1.1
10580,"Albany-Schenectady-Troy, NY",0.1182,-0.09591,-0.004503,0.08092,0.0195,-0.04523,0.1456,0.1262,13.67,13.56,0.1258,0.1914,0.06558,10.45,11.03,0.5821,0.1776,0.3897,0.2121,0.08713,0.06763,-0.01408,0.2622,0.12614299,4.4,-1.8,8.0,0.1,2.5
10740,"Albuquerque, NM",0.5549,-0.06185,-0.01366,0.02358,0.05193,-0.0139,0.08941,0.05615,13.72,13.17,0.08143,0.1852,0.1037,10.36,10.82,0.4651,0.1855,0.3238,0.1383,0.1084,0.05646,-0.05598,0.585,0.03748,2.9,-1.3,5.4,3.9,2.4
10900,"Allentown-Bethlehem-Easton, PA-NJ",0.2863,-0.0798,0.003178,0.009853,0.06677,-0.1941,0.2707,0.3001,13.65,13.36,0.1294,0.1891,0.05976,10.52,10.91,0.3879,0.1232,0.3023,0.1791,0.1183,0.05154,-0.06341,0.3374,0.203952,4.0,-4.1,3.7,2.1,3.7
12060,"Atlanta-Sandy Springs-Roswell, GA",0.966,-0.06392,-0.001914,0.02828,0.03756,-0.06942,0.1353,0.1405,15.63,14.66,0.08101,0.1343,0.05334,10.45,10.96,0.5104,0.1773,0.376,0.1987,0.08368,0.04612,-0.03269,1.025,0.097694002,4.0,-3.0,6.7,3.9,2.1
12260,"Augusta-Richmond County, GA-SC",0.4434,-0.04714,0.002912,0.03788,0.006346,-0.1011,0.1453,0.1929,13.32,12.87,0.08709,0.1745,0.08738,10.26,10.8,0.5405,0.1215,0.2671,0.1456,0.08759,0.08124,-0.0156,0.4645,0.138982,1.9,-0.6,2.6,1.1,1.7
12420,"Austin-Round Rock, TX",1.403,-0.05963,-0.000939,0.04089,0.01968,-0.03155,0.09211,0.09743,14.68,13.28,0.08331,0.1187,0.03537,10.3,11.08,0.7822,0.2491,0.4742,0.225,0.07485,0.05517,-0.01808,1.537,0.072439,6.5,2.8,10.7,9.6,4.5
12540,"Bakersfield, CA",0.7917,-0.02463,0.000463,-0.009111,0.03328,-0.001514,0.02568,0.04898,13.7,12.91,0.09671,0.1187,0.02201,10.4,10.73,0.3245,0.1064,0.1703,0.06397,0.0738,0.04052,-0.03154,0.7736,-0.007599,3.5,0.4,1.7,-3.8,5.2
12580,"Baltimore-Columbia-Towson, MD",0.2337,-0.09094,-0.01301,0.06349,0.04045,-0.0813,0.1852,0.1254,14.84,14.6,0.1009,0.1681,0.06711,10.53,11.08,0.5509,0.1565,0.4099,0.2534,0.1069,0.06644,-0.03688,0.3019,0.14480001,0.6,-3.4,5.1,2.6,1.6
12940,"Baton Rouge, LA",0.3304,-0.1181,0.003845,0.05437,0.05986,-0.04987,0.1641,0.126,13.62,13.29,0.07554,0.153,0.07741,10.42,10.8,0.3854,0.1618,0.276,0.1142,0.1064,0.04655,-0.05049,0.4593,0.104265,-2.5,-7.8,3.3,3.1,2.8
13820,"Birmingham-Hoover, AL",0.2132,-0.08642,-0.01117,0.0517,0.04589,-0.06179,0.1594,0.138,13.96,13.74,0.1176,0.1739,0.05628,10.4,10.84,0.432,0.1347,0.3196,0.185,0.1106,0.06471,-0.04022,0.31,0.11349,1.7,-1.2,5.5,1.7,1.6
14260,"Boise City, ID",1.046,-0.0475,-0.03575,0.02485,0.0584,-0.03283,0.1161,0.1008,13.59,12.54,0.09843,0.1583,0.05983,10.36,10.87,0.5153,0.1627,0.3406,0.1779,0.1105,0.05207,-0.06179,1.068,0.05768,4.7,1.6,9.1,7.5,2.9
14460,"Boston-Cambridge-Newton, MA-NH",0.1855,-0.09157,-0.002646,0.06051,0.0337,-0.09221,0.1864,0.1696,15.37,15.19,0.1201,0.1723,0.05221,10.53,11.23,0.7059,0.2116,0.4827,0.2711,0.1088,0.07511,-0.02839,0.2946,0.15272599,3.6,-0.9,7.0,2.4,1.5
14860,"Bridgeport-Stamford-Norwalk, CT",0.1432,-0.06458,0.007954,0.0236,0.03302,-0.1683,0.2249,0.2321,13.74,13.6,0.1139,0.1683,0.05441,10.72,11.27,0.5483,0.2377,0.4675,0.2299,0.08611,0.05309,-0.03178,0.1954,0.19190601,-1.9,-5.0,4.2,5.7,3.7
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",-0.09619,-0.1011,-0.03155,0.09091,0.04174,-0.1021,0.2348,0.1955,13.94,14.03,0.1234,0.1957,0.07232,10.54,10.93,0.387,0.1394,0.3419,0.2025,0.1062,0.06443,-0.03387,-0.001291,0.19301,2.3,-1.7,3.9,1.4,2.8
15980,"Cape Coral-Fort Myers, FL",1.372,-0.06977,-0.001408,0.02985,0.04132,-0.009275,0.08045,0.04229,13.6,12.23,0.2235,0.2928,0.06934,10.32,10.78,0.4528,0.125,0.2967,0.1716,0.1027,0.06136,-0.03294,1.467,0.039133001,2.4,-0.5,8.5,7.8,4.2
16700,"Charleston-North Charleston, SC",0.6367,-0.08604,-0.0176,0.06671,0.03692,-0.05233,0.156,0.1335,13.61,12.97,0.0687,0.1674,0.09871,10.28,10.93,0.6453,0.1343,0.3772,0.2429,0.09611,0.05918,-0.03666,0.7226,0.11905,4.8,-2.7,5.4,6.4,5.2
